dur	Csengery+Keller 1987	Csengery+Keller 1990	Komsi+Oramo 1994	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Arnold+Pogossian 2006	Melzer+Stark 2012	Melzer+Stark 2013	Kammer+Widmann 2017	Melzer+Stark 2017	Melzer+Stark 2019	dur mean 14	dur min 14	dur max 14	min	max		dur rel stdv (%) 14	dur rel range - (%) 14	dur rel range + (%) 14	dur rel range (%) 14	
25	00:15	00:15	00:14	00:14	00:13	00:17	00:17	00:16	00:16	00:15	00:15	00:13	00:14	00:14	00:15	00:13	00:17	WS97; KW17	PK04; AP04	25	9,50	-16,03	16,95	32,97	25
26	00:26	00:33	00:26	00:25	00:24	00:22	00:29	00:30	00:27	00:32	00:30	00:16	00:31	00:32	00:27	00:16	00:33	KW17	CK90	26	16,71	-40,95	19,50	60,45	26
27	00:38	00:42	00:38	00:39	00:40	00:37	00:37	00:43	00:37	00:40	00:39	00:44	00:44	00:42	00:40	00:37	00:44	PK04; AP04; AP06	KW17; MS17	27	6,69	-7,98	11,13	19,12	27
28	00:49	00:43	00:52	00:52	00:48	00:42	00:48	00:48	00:45	00:50	00:48	00:41	00:48	00:54	00:48	00:41	00:54	KW17	MS19	28	8,18	-14,14	13,88	28,02	28
29	01:07	00:58	00:57	00:56	00:47	00:58	01:29	01:05	01:15	01:24	01:18	00:53	01:14	01:10	01:07	00:47	01:29	WS97	AP04	29	18,32	-28,67	33,60	62,27	29
30	00:21	00:21	00:21	00:19	00:22	00:22	00:22	00:23	00:21	00:17	00:16	00:18	00:17	00:19	00:20	00:16	00:23	MS13	BK05	30	10,93	-18,54	16,85	35,39	30
31	02:38	02:12	02:14	02:17	01:52	02:18	02:38	02:39	02:28	01:57	01:55	02:08	02:06	02:08	02:15	01:52	02:39	WS97	BK05	31	11,80	-17,31	17,98	35,29	31
32	03:30	03:30	03:56	04:04	03:51	03:41	04:10	03:46	04:06	03:54	03:46	03:36	03:45	03:47	03:49	03:30	04:10	CK87: CK90	AP04	32	5,44	-8,15	9,46	17,61	32
33	03:21	03:10	03:07	03:15	02:39	02:51	03:39	03:29	03:18	03:42	03:39	02:36	02:51	03:21	03:13	02:36	03:42	KW17	MS12	33	11,26	-19,15	15,31	34,46	33
34	00:58	00:55	00:57	01:01	01:08	00:48	01:06	00:55	01:04	01:01	00:57	00:49	00:58	00:57	00:58	00:48	01:08	PK04	WS97	34	9,63	-17,50	16,50	34,00	34
35	00:34	00:33	00:35	00:37	00:39	00:33	00:36	00:40	00:37	00:39	00:38	00:35	00:36	00:34	00:36	00:33	00:40	CK90; PK04	BK05	35	6,29	-8,79	10,80	19,59	35
36	00:52	00:44	00:57	01:01	00:52	00:53	00:51	00:56	00:51	01:17	01:15	01:09	01:07	01:10	01:00	00:44	01:17	CK90	MS12	36	17,10	-26,34	28,67	55,00	36
37	01:43	01:48	01:30	01:31	02:02	01:53	01:53	02:03	01:48	02:10	02:17	01:37	02:17	02:10	01:54	01:30	02:17	KO94	MS13; MS17	37	13,97	-21,37	19,75	41,12	37
38	02:50	02:38	02:35	02:56	02:27	02:30	02:26	02:38	02:25	02:44	02:49	02:12	02:33	03:14	02:38	02:12	03:14	KW17	MS19	38	9,79	-16,72	22,47	39,18	38
39	01:17	01:28	01:37	01:27	01:33	01:26	01:24	01:32	01:22	01:36	01:35	01:18	01:30	01:34	01:29	01:17	01:37	CK87	KO94	39	7,28	-12,83	9,40	22,23	39
40	05:50	06:17	06:02	06:47	06:42	06:01	07:10	06:06	07:20	06:10	06:11	05:22	06:11	06:28	06:20	05:22	07:20	KW17	AP06	40	8,27	-15,30	15,83	31,12	40
	53:10	51:50	48:22	50:21	49:27	48:25	56:12	54:35	54:20	53:54	53:03	45:37	52:11	54:35	51:52	45:37	56:12	KW17	AP04		5,82	-12,04	8,38	20,42	
	04:47	04:34	04:25	04:25	04:35	04:20	04:56	04:45	04:47	04:34	04:29	04:15	04:28	04:37	04:34										
perc total	Csengery+Keller 1987	Csengery+Keller 1990	Komsi+Oramo 1994	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Arnold+Pogossian 2006	Melzer+Stark 2012	Melzer+Stark 2013	Kammer+Widmann 2017	Melzer+Stark 2017	Melzer+Stark 2019	perc total mean 14	perc total min 14	perc total max 14	min	max		perc total abs stdv 14	perc total range - 14	perc total range + 14	perc total range 14	
1	2,19	2,03	2,03	1,79	1,95	2,00	1,84	1,94	1,90	1,92	1,93	2,17	1,97	1,87	1,97	1,79	2,19	KO95	CK87	1	0,11	-0,17	0,23	0,40	1
2	1,11	1,01	1,07	1,06	1,07	1,12	1,09	1,07	1,02	1,04	0,97	1,06	0,99	1,00	1,05	0,97	1,12	MS13	PK04	2	0,05	-0,08	0,07	0,16	2
3	0,59	0,61	0,55	0,61	0,71	0,68	0,57	0,60	0,59	0,72	0,71	0,81	0,70	0,71	0,66	0,55	0,81	KO94	KW17	3	0,07	-0,10	0,16	0,26	3
4	0,63	0,51	0,89	0,82	0,69	0,59	0,63	0,80	0,69	0,63	0,63	0,77	0,57	0,66	0,68	0,51	0,89	CK90	KO94	4	0,11	-0,17	0,21	0,38	4
5	1,62	1,75	2,52	2,38	1,86	1,67	2,09	1,72	1,95	1,81	1,88	1,97	1,91	1,89	1,93	1,62	2,52	CK87	KO94	5	0,25	-0,31	0,59	0,90	5
6	2,85	2,90	2,07	2,12	3,00	2,88	2,58	2,57	2,65	2,36	2,36	2,53	2,43	2,32	2,54	2,07	3,00	KO94	WS97	6	0,29	-0,47	0,45	0,92	6
7	0,99	0,99	0,63	0,63	1,00	0,95	0,75	0,92	0,75	0,65	0,66	0,85	0,60	0,65	0,79	0,60	1,00	MS17	WS97	7	0,16	-0,19	0,21	0,40	7
8	0,28	0,34	0,38	0,34	0,49	0,31	0,30	0,37	0,28	0,37	0,31	0,46	0,29	0,29	0,34	0,28	0,49	CK87; AP06	WS97	8	0,06	-0,07	0,14	0,21	8
9	0,59	0,68	0,73	0,76	0,89	0,83	0,68	0,68	0,67	0,64	0,69	0,87	0,72	0,68	0,72	0,59	0,89	CK87	WS97	9	0,09	-0,13	0,17	0,30	9
10	0,40	0,41	0,40	0,34	0,49	0,58	0,45	0,52	0,48	0,48	0,47	0,45	0,44	0,47	0,46	0,34	0,58	KO95	PK04	10	0,06	-0,11	0,12	0,24	10
11	2,35	2,60	2,76	2,52	2,02	2,59	2,28	2,10	2,41	2,08	2,13	2,18	2,20	2,30	2,32	2,02	2,76	WS97	KO94	11	0,23	-0,30	0,44	0,74	11
12	0,38	0,39	0,31	0,31	0,41	0,32	0,37	0,39	0,37	0,37	0,34	0,43	0,37	0,37	0,37	0,31	0,43	KO94; KO95	KW17	12	0,04	-0,06	0,06	0,12	12
13	1,14	1,35	0,80	0,86	1,25	1,37	0,99	1,25	1,00	1,04	1,04	1,33	1,09	1,11	1,12	0,80	1,37	KO94	PK04	13	0,18	-0,31	0,25	0,56	13
14	0,70	0,68	0,93	0,70	0,74	0,92	0,80	0,68	0,78	0,64	0,66	0,87	0,70	0,68	0,75	0,64	0,93	MS12	KO94	14	0,10	-0,11	0,18	0,29	14
15	2,16	1,91	1,62	1,34	1,80	1,98	2,04	2,22	2,07	1,38	1,52	1,93	1,90	1,77	1,83	1,34	2,22	KO95	BK05	15	0,28	-0,49	0,39	0,88	15
16	2,23	2,06	1,60	1,45	1,71	1,59	1,91	2,18	1,93	1,92	2,13	2,08	2,11	2,11	1,93	1,45	2,23	KO95	CK87	16	0,25	-0,48	0,30	0,79	16
17	1,18	1,26	1,36	1,26	1,33	1,52	1,14	1,27	1,13	1,25	1,22	1,25	1,24	1,24	1,26	1,13	1,52	AP06	PK04	17	0,10	-0,13	0,26	0,38	17
18	3,97	3,97	5,25	5,28	4,41	3,81	4,09	4,09	4,11	4,29	4,39	4,20	4,39	4,29	4,32	3,81	5,28	PK04	KO95	18	0,44	-0,51	0,95	1,46	18
19	2,10	2,30	2,00	1,97	2,59	2,22	1,75	2,11	1,97	2,05	1,95	2,34	2,01	1,95	2,09	1,75	2,59	AP04	WS97	19	0,21	-0,34	0,50	0,84	19
20	14,60	13,52	9,60	10,85	10,01	10,90	12,68	13,35	12,58	13,62	13,10	11,40	13,76	13,49	12,39	9,60	14,60	KO94	CK87	20	1,55	-2,79	2,21	4,99	20
21	1,27	1,28	1,16	1,06	1,37	1,29	1,19	1,31	1,25	1,15	1,10	1,14	1,13	1,06	1,20	1,06	1,37	KO95	WS97	21	0,10	-0,14	0,18	0,32	21
22	0,60	0,65	0,73	0,52	0,68	0,72	0,67	0,90	0,65	0,80	0,80	0,59	0,84	0,83	0,71	0,52	0,90	KO95	BK05	22	0,11	-0,20	0,19	0,38	22
23	1,89	1,67	1,99	1,92	1,74	1,93	2,14	1,70	2,00	1,48	1,46	1,76	1,46	1,53	1,76	1,46	2,14	MS13; MS17	AP04	23	0,22	-0,30	0,38	0,69	23
24	3,14	3,44	2,81	2,76	3,26	3,06	3,72	3,06	3,45	3,27	3,22	2,93	3,07	3,17	3,17	2,76	3,72	KO95	AP04	24	0,26	-0,41	0,55	0,96	24
25	0,46	0,49	0,50	0,47	0,43	0,59	0,52	0,48	0,50	0,46	0,47	0,46	0,45	0,44	0,48	0,43	0,59	WS97	PK04	25	0,04	-0,05	0,11	0,16	25
26	0,82	1,05	0,90	0,83	0,81	0,75	0,85	0,92	0,84	0,98	0,93	0,59	1,00	0,97	0,87	0,59	1,05	KW17	CK90	26	0,12	-0,28	0,18	0,46	26
27	1,18	1,34	1,31	1,31	1,34	1,27	1,10	1,30	1,13	1,24	1,22	1,62	1,42	1,27	1,29	1,10	1,62	AP04	KW17	27	0,13	-0,19	0,33	0,53	27
28	1,54	1,38	1,80	1,73	1,60	1,46	1,42	1,45	1,37	1,54	1,52	1,50	1,53	1,66	1,53	1,37	1,80	AP06	KO94	28	0,13	-0,17	0,26	0,43	28
29	2,10	1,87	1,98	1,87	1,60	2,01	2,64	1,97	2,30	2,59	2,45	1,95	2,36	2,15	2,13	1,60	2,64	AP04	WS97	29	0,30	-0,53	0,51	1,04	29
30	0,64	0,66	0,73	0,63	0,75	0,77	0,65	0,71	0,64	0,54	0,51	0,67	0,54	0,59	0,65	0,51	0,77	MS13	PK04	30	0,08	-0,13	0,13	0,26	30
31	4,96	4,25	4,61	4,52	3,76	4,74	4,68	4,86	4,54	3,61	3,62	4,66	4,04	3,90	4,34	3,61	4,96	MS12	CK87	31	0,47	-0,73	0,62	1,35	31
32	6,59	6,76	8,12	8,08	7,79	7,61	7,43	6,91	7,53	7,24	7,11	7,91	7,17	6,92	7,37	6,59	8,12	CK87	KO94	32	0,49	-0,78	0,75	1,53	32
33	6,30	6,12	6,45	6,47	5,37	5,89	6,50	6,37	6,06	6,87	6,87	5,69	5,45	6,13	6,18	5,37	6,87	WS97	MS12; MS13	33	0,46	-0,81	0,69	1,50	33
34	1,80	1,78	1,97	2,02	2,29	1,65	1,97	1,69	1,95	1,90	1,79	1,80	1,84	1,75	1,87	1,65	2,29	PK04	WS97	34	0,16	-0,22	0,41	0,63	34
