dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	3a	3b	total
Melzer+Stark 2017	44,97	32,41	22,62			Melzer+Stark 2019	10,93	33,72	14,27	9,26	8,50	8,04	15,27	
Melzer+Stark 2019	44,66	32,03	23,31			mean 14	11,17	34,21	14,36	9,55	8,20	7,64	14,87	
mean 14	45,37	32,11	22,51			min 14	10,40	32,68	13,07	8,90	7,32	7,15	13,11	
min 14	43,61	30,37	20,31			max 14	12,30	35,38	15,64	10,18	9,28	8,15	18,36	
max 14	47,68	34,03	25,51			abs stdv 14	0,60	0,75	0,58	0,41	0,63	0,31	1,24	
abs stdv 14	1,09	0,88	1,28											
perc sec 8	1	2	3			perc seg 8	1a	1b	2a	2b	2c	3a	3b	
score	46,15	32,69	21,15			Csengery+Keller 1990	10,50	34,96	14,57	9,40	7,77	7,64	15,17	
Csengery+Keller 1990	45,46	31,74	22,81			Komsi+Oramo 1995	10,40	33,21	14,56	10,18	9,28	8,00	14,36	
Komsi+Oramo 1995	43,61	34,03	22,36			Whittlesey+Sallaberger 1997	12,30	35,38	14,72	9,92	7,36	7,20	13,11	
Whittlesey+Sallaberger 1997	47,68	32,01	20,31			Pammer+Kopatchinskaja 2004	11,44	32,68	14,01	9,04	7,32	7,15	18,36	
Pammer+Kopatchinskaja 2004	44,12	30,37	25,51			Arnold+Pogossian 2004	11,65	34,48	14,31	9,41	8,34	7,57	14,23	
Arnold+Pogossian 2004	46,13	32,07	21,80			Banse+Keller 2005	10,92	34,71	13,81	9,06	8,69	7,74	15,08	
Banse+Keller 2005	45,62	31,56	22,82			Melzer+Stark 2012	10,94	34,28	14,86	9,63	8,09	7,52	14,68	
Melzer+Stark 2012	45,22	32,58	22,20			Kammer+Widmann 2017	12,19	34,35	14,17	9,53	8,63	7,26	13,87	
Kammer+Widmann 2017	46,54	32,33	21,13			mean 8	11,29	34,26	14,38	9,52	8,19	7,51	14,86	
mean 8	45,5	32,1	22,4			min 8	10,40	32,68	13,81	9,04	7,32	7,15	13,11	
min 8	43,6	30,4	20,3			max 8	12,30	35,38	14,86	10,18	9,28	8,00	18,36	
max 8	47,7	34,0	25,5			abs stdv 8	0,72	0,89	0,36	0,39	0,69	0,29	1,56	
